date	fed-o	fed	type	level	status	comment
1615213309	10	1	39	7	0	Subscribe Interaction Class = 3 - OK
1615213309	10	1	35	7	0	Publish Interaction Class = 4 - OK
1615213309	0	0	3	10	36	Federation Name : COSSIM_PROC_NET_NODE3, Handle : 11COSSIM_PROC_NET_NODE3 - Exception
1615213309	0	0	3	10	36	Federation Name : GLOBAL_SYNCHRONIZATION, Handle : 12GLOBAL_SYNCHRONIZATION - Exception
1615213309	0	0	5	9	0	Federate "GEM5" joins Federation "COSSIM_PROC_NET_NODE3"(10) with handle 2. Socket 11 - OK
1615213309	0	0	5	9	0	Federate "GEM5_NODE2" joins Federation "GLOBAL_SYNCHRONIZATION"(1) with handle 4. Socket 17 - OK
1615213309	10	2	35	7	0	Publish Interaction Class = 3 - OK
1615213309	1	4	35	7	0	Publish Interaction Class = 3 - OK
1615213309	10	2	39	7	0	Subscribe Interaction Class = 4 - OK
1615213309	1	4	39	7	0	Subscribe Interaction Class = 4 - OK
1615213309	1	4	9	8	0	ON at time 0.000000 - OK
1615213309	1	4	8	8	0	ON at time 1.000000 - OK
1615213309	10	2	15	8	0	Label "Init" ended - OK
1615213309	10	1	15	8	0	Label "Init" ended - OK
1615213309	1	4	15	8	0	Label "Init" ended - OK
1615213310	0	0	3	10	36	Federation Name : GLOBAL_SYNCHRONIZATION, Handle : 13GLOBAL_SYNCHRONIZATION - Exception
1615213310	0	0	5	9	0	Federate "GEM5_NODE3" joins Federation "GLOBAL_SYNCHRONIZATION"(1) with handle 5. Socket 18 - OK
1615213310	1	5	35	7	0	Publish Interaction Class = 3 - OK
1615213310	1	5	39	7	0	Subscribe Interaction Class = 4 - OK
1615213310	1	5	9	8	0	ON at time 0.000000 - OK
1615213310	1	5	8	8	0	ON at time 1.000000 - OK
1615213310	1	5	15	8	0	Label "Init" ended - OK
1615213310	1	1	15	8	0	Label "Init" ended - OK
1615213311	0	0	3	9	0	Federation Name : Node0, Handle : 14 created - OK
1615213311	0	0	5	9	0	Federate "GEM5_CREATOR_FEDERATE" joins Federation "Node0"(14) with handle 1. Socket 19 - OK
1615213311	14	1	12	8	0	Label "Init" registered. Tag is "Waiting all players." - OK
1615213311	14	1	33	7	0	Publish Object Class = 4, # of att. = 5 - OK
1615213311	14	1	37	7	0	Subscribe Object Class = 3, # of att. = 4 - OK
1615213311	14	1	9	8	0	ON at time 0.000000 - OK
1615213311	14	1	8	8	0	ON at time 1.000000 - OK
1615213330	0	0	3	10	36	Federation Name : Node0, Handle : 15Node0 - Exception
1615213330	0	0	5	9	0	Federate "Display" joins Federation "Node0"(14) with handle 2. Socket 20 - OK
1615213330	14	2	33	7	0	Publish Object Class = 3, # of att. = 1 - OK
